mes;pasajeros
1/01/1949;112
1/02/1949;118
1/03/1949;132
1/04/1949;129
1/05/1949;121
1/06/1949;135
1/07/1949;148
1/08/1949;148
1/09/1949;136
1/10/1949;119
1/11/1949;104
1/12/1949;118
1/01/1950;115
1/02/1950;126
1/03/1950;141
1/04/1950;135
1/05/1950;125
1/06/1950;149
1/07/1950;170
1/08/1950;170
1/09/1950;158
1/10/1950;133
1/11/1950;114
1/12/1950;140
1/01/1951;145
1/02/1951;150
1/03/1951;178
1/04/1951;163
1/05/1951;172
1/06/1951;178
1/07/1951;199
1/08/1951;199
1/09/1951;184
1/10/1951;162
1/11/1951;146
1/12/1951;166
1/01/1952;171
1/02/1952;180
1/03/1952;193
1/04/1952;181
1/05/1952;183
1/06/1952;218
1/07/1952;230
1/08/1952;242
1/09/1952;209
1/10/1952;191
1/11/1952;172
1/12/1952;194
1/01/1953;196
1/02/1953;196
1/03/1953;236
1/04/1953;235
1/05/1953;229
1/06/1953;243
1/07/1953;264
1/08/1953;272
1/09/1953;237
1/10/1953;211
1/11/1953;180
1/12/1953;201
1/01/1954;204
1/02/1954;188
1/03/1954;235
1/04/1954;227
1/05/1954;234
1/06/1954;264
1/07/1954;302
1/08/1954;293
1/09/1954;259
1/10/1954;229
1/11/1954;203
1/12/1954;229
1/01/1955;242
1/02/1955;233
1/03/1955;267
1/04/1955;269
1/05/1955;270
1/06/1955;315
1/07/1955;364
1/08/1955;347
1/09/1955;312
1/10/1955;274
1/11/1955;237
1/12/1955;278
1/01/1956;284
1/02/1956;277
1/03/1956;317
1/04/1956;313
1/05/1956;318
1/06/1956;374
1/07/1956;413
1/08/1956;405
1/09/1956;355
1/10/1956;306
1/11/1956;271
1/12/1956;306
1/01/1957;315
1/02/1957;301
1/03/1957;356
1/04/1957;348
1/05/1957;355
1/06/1957;422
1/07/1957;465
1/08/1957;467
1/09/1957;404
1/10/1957;347
1/11/1957;305
1/12/1957;336
1/01/1958;340
1/02/1958;318
1/03/1958;362
1/04/1958;348
1/05/1958;363
1/06/1958;435
1/07/1958;491
1/08/1958;505
1/09/1958;404
1/10/1958;359
1/11/1958;310
1/12/1958;337
1/01/1959;360
1/02/1959;342
1/03/1959;406
1/04/1959;396
1/05/1959;420
1/06/1959;472
1/07/1959;548
1/08/1959;559
1/09/1959;463
1/10/1959;407
1/11/1959;362
1/12/1959;405
1/01/1960;417
1/02/1960;391
1/03/1960;419
1/04/1960;461
1/05/1960;472
1/06/1960;535
1/07/1960;622
1/08/1960;606
1/09/1960;508
1/10/1960;461
1/11/1960;390
1/12/1960;432
